City,Temp,Lat,Lon,Hum,Cloud,Wind,Country
Amahai,28.86,-3.33,128.92,76.0,100.0,5.54,ID
Namibe,28.0,-15.2,12.15,65.0,0.0,7.2,AO
Guerrero negro,12.99,27.98,-114.06,90.0,0.0,1.39,MX
Ixtapa,20.82,20.7,-105.2,94.0,90.0,1.42,MX
Havelock,13.87,34.88,-76.9,77.0,75.0,2.6,US
Okhotsk,-17.26,59.38,143.3,99.0,77.0,0.92,RU
Mayo,7.31,38.89,-76.51,61.0,1.0,3.1,US
Yamasaki,6.31,35.0,134.55,100.0,75.0,1.5,JP
Arona,22.62,28.1,-16.68,64.0,20.0,4.6,ES
Linxia,3.32,35.6,103.21,33.0,0.0,2.29,CN
Karatau,6.24,43.17,70.47,59.0,2.0,4.17,KZ
Nagram,23.0,26.62,81.13,88.0,90.0,7.7,IN
Kemlya,1.21,54.7,45.24,100.0,100.0,2.01,RU
Rosetta,20.0,31.4,30.42,68.0,19.0,2.1,EG
Lardos,17.9,36.09,28.02,72.0,75.0,5.1,GR
Guelengdeng,,,,,,,
Teeli,-7.94,51.03,90.23,71.0,96.0,2.55,RU
Tasbuget,,,,,,,
Tiznit,29.34,29.58,-9.5,15.0,0.0,1.22,MA
Igarka,-6.53,67.47,86.58,94.0,100.0,7.52,RU
Yomitan,,,,,,,
Gamba,29.84,-2.65,10.0,74.0,57.0,4.32,GA
Kyra,-13.63,49.58,111.98,87.0,55.0,1.31,RU
Kemijarvi,-6.56,66.71,27.43,79.0,39.0,3.91,FI
Asfi,23.76,32.3,-9.24,37.0,0.0,6.87,MA
Abha,21.48,18.22,42.51,49.0,40.0,9.3,SA
Antalaha,28.75,-14.9,50.28,73.0,66.0,12.14,MG
Saint anthony,-5.22,45.02,-93.22,79.0,1.0,2.6,US
Tezu,19.04,27.92,96.17,55.0,68.0,0.46,IN
Vangaindrano,25.55,-23.35,47.6,85.0,17.0,4.22,MG
Maxixe,29.0,-23.86,35.35,62.0,75.0,3.6,MZ
Hobyo,29.92,5.35,48.53,46.0,42.0,7.36,SO
Awjilah,22.87,29.11,21.29,28.0,56.0,6.3,LY
Kisangani,32.54,0.52,25.2,50.0,64.0,2.25,CD
Oberwart,8.78,47.29,16.21,36.0,20.0,5.7,AT
Xai-xai,28.39,-25.05,33.64,48.0,34.0,4.61,MZ
Tuatapere,7.22,-46.13,167.68,79.0,0.0,0.45,NZ
Mahadday weyne,,,,,,,
Ucluelet,3.69,48.93,-125.55,84.0,86.0,1.79,CA
Mayumba,28.24,-3.43,10.66,80.0,100.0,5.34,GA
Lazaro cardenas,19.68,17.96,-102.2,88.0,0.0,2.31,MX
Toliary,,,,,,,
Virginia beach,9.16,36.85,-75.98,81.0,40.0,1.5,US
Nemuro,-1.32,43.32,145.57,88.0,75.0,4.89,JP
Da lat,17.72,11.95,108.44,90.0,99.0,0.9,VN
Minot,-2.08,48.23,-101.3,92.0,90.0,3.6,US
Kamina,23.85,-8.74,24.99,78.0,67.0,2.72,CD
Rungata,,,,,,,
Salalah,29.0,17.02,54.09,58.0,0.0,4.6,OM
Sibolga,24.02,1.74,98.78,96.0,93.0,0.34,ID
Sola,28.0,-13.88,167.55,83.0,75.0,6.81,VU
Coolum beach,24.08,-26.53,153.1,80.0,60.0,0.45,AU
Najran,28.0,17.49,44.13,21.0,0.0,5.7,SA
Gazanjyk,11.02,39.24,55.52,59.0,60.0,2.92,TM
Mrirt,,,,,,,
Tazovskiy,-14.06,67.47,78.7,95.0,73.0,3.19,RU
Byron bay,23.66,-28.65,153.62,78.0,75.0,4.1,AU
Kahului,20.06,20.89,-156.47,88.0,40.0,7.12,US
Orda,-1.78,57.2,56.91,93.0,100.0,3.96,RU
The valley,26.5,18.22,-63.06,65.0,20.0,5.1,AI
Christchurch,8.53,-43.53,172.63,76.0,6.0,1.23,NZ
Luanda,30.0,-8.84,13.23,62.0,75.0,4.1,AO
Arman,-12.23,59.7,150.17,95.0,100.0,3.59,RU
Salou,16.17,41.08,1.14,59.0,20.0,6.2,ES
Zeya,-17.1,53.75,127.27,94.0,61.0,1.8,RU
Inyonga,20.31,-6.72,32.07,91.0,100.0,1.77,TZ
Jaguarari,29.43,-10.26,-40.2,56.0,6.0,1.48,BR
Takoradi,33.36,4.88,-1.76,54.0,31.0,3.01,GH
San andres,27.0,12.58,-81.7,65.0,20.0,5.7,CO
Muros,15.35,42.78,-9.06,93.0,75.0,5.1,ES
Kabare,16.36,-2.47,28.82,96.0,100.0,1.66,CD
Bindura,17.39,-17.3,31.33,86.0,100.0,0.82,ZW
Rawson,19.61,-43.3,-65.1,79.0,67.0,5.08,AR
La rioja,14.29,42.25,-2.5,59.0,20.0,10.3,ES
Lompoc,7.1,34.64,-120.46,100.0,20.0,2.1,US
Totness,25.39,5.88,-56.32,80.0,58.0,6.31,SR
Tanda,26.79,26.55,82.65,29.0,41.0,2.14,IN
Dingle,24.09,11.0,122.67,74.0,30.0,4.11,PH
Paamiut,-14.32,61.99,-49.67,51.0,0.0,2.07,GL
Maykain,,,,,,,
Casa nova,28.0,-9.42,-41.13,74.0,75.0,3.1,BR
Chikwawa,24.13,-16.03,34.8,67.0,74.0,3.1,MW
Hovd,-4.29,48.01,91.64,41.0,3.0,0.76,MN
Narsaq,-17.0,60.92,-46.05,45.0,5.0,2.6,GL
Coquimbo,16.0,-29.95,-71.34,82.0,90.0,0.66,CL
Sofiysk,,,,,,,
Jajce,9.0,44.34,17.27,61.0,20.0,4.1,BA
La ciotat,12.55,43.17,5.6,62.0,87.0,6.7,FR
Deputatskiy,-21.78,69.3,139.9,68.0,0.0,1.4,RU
Beidao,7.93,34.57,105.89,50.0,0.0,3.52,CN
Kuala lumpur,30.74,3.14,101.69,66.0,20.0,2.1,MY
Kolno,6.0,53.41,21.93,75.0,90.0,3.1,PL
Lincoln,0.95,40.8,-96.67,86.0,1.0,1.5,US
Komsomolskiy,14.43,40.43,71.72,67.0,40.0,2.1,UZ
Lumeje,28.66,-11.55,20.78,49.0,93.0,1.67,AO
Cap malheureux,29.71,-19.98,57.61,79.0,40.0,5.1,MU
Taoudenni,35.27,22.68,-3.98,5.0,0.0,6.88,ML
Aleksandrov gay,9.55,50.15,48.57,62.0,9.0,1.51,RU
Abu zabad,37.14,12.35,29.25,6.0,21.0,7.64,SD
Lexington,1.43,37.99,-84.48,80.0,1.0,1.5,US
Clyde river,-26.0,70.47,-68.59,83.0,90.0,6.7,CA
Flagstaff,1.44,35.2,-111.65,68.0,1.0,3.19,US
Gorno-chuyskiy,,,,,,,
Ambovombe,27.16,-25.17,46.08,62.0,26.0,9.18,MG
Cedar city,-4.63,37.68,-113.06,85.0,1.0,1.5,US
Lasa,4.82,46.62,10.7,34.0,20.0,2.1,IT
Kaniama,28.97,-7.57,24.18,66.0,72.0,0.61,CD
Aberdeen,6.9,57.14,-2.1,48.0,85.0,3.6,GB
Plettenberg bay,27.3,-34.05,23.37,51.0,0.0,3.02,ZA
Aflu,,,,,,,
Emerald,24.49,-23.53,148.17,94.0,90.0,7.2,AU
Teya,-6.67,60.38,92.63,87.0,100.0,5.01,RU
Donskoye,20.14,45.46,41.97,19.0,8.0,2.0,RU
Nkongsamba,32.16,4.95,9.94,44.0,100.0,1.24,CM
Champerico,24.0,14.3,-91.92,88.0,40.0,1.43,GT
Olinda,31.0,-8.01,-34.86,66.0,40.0,2.6,BR
Lago da pedra,22.68,-4.33,-45.17,99.0,100.0,0.87,BR
Gannan,-11.33,47.91,123.5,84.0,11.0,2.51,CN
Sur,22.53,22.57,59.53,57.0,0.0,7.25,OM
Impfondo,42.55,1.64,18.07,24.0,15.0,0.28,CG
Mehamn,-5.12,71.04,27.85,62.0,0.0,7.7,NO
Caravelas,26.42,-17.71,-39.25,81.0,72.0,4.39,BR
Esperance,19.0,-33.87,121.9,59.0,0.0,4.6,AU
Miramar,20.28,25.99,-80.23,93.0,1.0,7.08,US
Andrews,9.11,32.32,-102.55,100.0,90.0,3.1,US
Hay river,-24.0,60.82,-115.8,76.0,20.0,3.1,CA
Khani,25.0,41.96,42.96,46.0,0.0,7.7,GE
Silyanah,,,,,,,
Bagdarin,-15.56,54.43,113.6,84.0,0.0,1.8,RU
Tugalan,,,,,,,
Novoaltaysk,-4.0,53.39,83.94,79.0,75.0,7.0,RU
Pathardi,31.66,19.17,75.18,11.0,0.0,4.06,IN
Marsh harbour,22.9,26.54,-77.06,87.0,17.0,6.32,BS
Agua verde,16.06,22.9,-106.05,82.0,40.0,2.52,MX
Phibun mangsahan,31.47,15.24,105.23,55.0,20.0,1.5,TH
Litovko,-8.63,49.24,135.17,88.0,98.0,1.96,RU
Labrea,22.95,-7.26,-64.8,98.0,100.0,1.66,BR
San policarpo,26.34,12.18,125.51,87.0,49.0,5.88,PH
Gardez,3.05,33.6,69.23,94.0,100.0,2.21,AF
Bati,26.15,11.18,40.02,39.0,70.0,4.16,ET
Cukai,27.92,4.25,103.42,83.0,38.0,1.5,MY
Rongcheng,8.37,30.63,117.85,80.0,100.0,1.9,CN
Zabaykalsk,-17.62,49.63,117.32,96.0,80.0,1.89,RU
Worthing,8.16,50.81,-0.37,81.0,20.0,3.6,GB
Saint-georges,28.0,12.06,-61.75,69.0,40.0,7.7,GD
Navoi,11.0,40.08,65.38,66.0,90.0,5.1,UZ
Bastia,14.44,42.67,9.33,36.0,1.0,6.7,FR
Morant bay,24.39,17.88,-76.41,74.0,20.0,1.0,JM
Sao felix do xingu,24.87,-6.64,-51.99,88.0,82.0,1.19,BR
Xining,1.31,36.62,101.77,27.0,0.0,1.0,CN
Conceicao do araguaia,26.0,-8.26,-49.26,88.0,40.0,1.5,BR
Lagoa,14.51,39.05,-27.98,62.0,37.0,12.32,PT
Karratha,30.13,-20.74,116.85,76.0,25.0,5.08,AU
Valleyview,-5.45,55.07,-117.29,83.0,39.0,3.34,CA
Haibowan,,,,,,,
Chimbote,22.45,-9.09,-78.58,80.0,95.0,1.27,PE
Oil city,0.67,41.43,-79.71,90.0,1.0,3.6,US
Mikhaylovka,12.78,50.06,43.24,57.0,34.0,1.34,RU
